Language, License, Year
C, ISO/ANSI, 1972
Python, PSF, 1991
Java, GPL, 1995
JavaScript, MIT, 1995
Ruby, BSD, 1995
Go, BSD, 2009
Rust, Apache/MIT, 2010
Swift, Apache, 2014
Kotlin, Apache, 2011
PHP, PHP, 1995
